#note	type	output type	input types	op id	flags	width in	width out	code	tags	rating	code_custom[0]	code_custom[1]...
arithetic_std	instruction	double	double,double	ADD_double		1	1	$$arg1 + $$arg2	C,universal	10		
sse_arithetic_std	instruction	double	double,double	ADD_double		2	2	_mm_add_pd($$arg1,$$arg2)	sse,universal	10		
arithetic_std	instruction	float	float,float	ADD_float		1	1	$$arg1 + $$arg2	C,universal	10		
sse_arithetic_std	instruction	float	float,float	ADD_float		4	4	_mm_add_ps($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	float	float,float	ADD_float		2	2	_mm_add_ps($$arg1,$$arg2)	sse,universal	10		
arithetic_std	instruction	int16_t	int16_t,int16_t	ADD_int16_t		1	1	$$arg1 + $$arg2	C,universal	10		
sse_arithetic_std	instruction	int16_t	int16_t,int16_t	ADD_int16_t		8	8	_mm_add_epi16($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	int16_t	int16_t,int16_t	ADD_int16_t		4	4	_mm_add_epi16($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	int16_t	int16_t,int16_t	ADD_int16_t		2	2	_mm_add_epi16($$arg1,$$arg2)	sse,universal	10		
arithetic_std	instruction	int32_t	int32_t,int32_t	ADD_int32_t		1	1	$$arg1 + $$arg2	C,universal	10		
sse_arithetic_std	instruction	int32_t	int32_t,int32_t	ADD_int32_t		4	4	_mm_add_epi32($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	int32_t	int32_t,int32_t	ADD_int32_t		2	2	_mm_add_epi32($$arg1,$$arg2)	sse,universal	10		
arithetic_std	instruction	int64_t	int64_t,int64_t	ADD_int64_t		1	1	$$arg1 + $$arg2	C,universal	10		
sse_arithetic_std	instruction	int64_t	int64_t,int64_t	ADD_int64_t		2	2	_mm_add_epi64($$arg1,$$arg2)	sse,universal	10		
arithetic_std	instruction	int8_t	int8_t,int8_t	ADD_int8_t		1	1	$$arg1 + $$arg2	C,universal	10		
sse_arithetic_std	instruction	int8_t	int8_t,int8_t	ADD_int8_t		16	16	_mm_add_epi8($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	int8_t	int8_t,int8_t	ADD_int8_t		8	8	_mm_add_epi8($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	int8_t	int8_t,int8_t	ADD_int8_t		4	4	_mm_add_epi8($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	int8_t	int8_t,int8_t	ADD_int8_t		2	2	_mm_add_epi8($$arg1,$$arg2)	sse,universal	10		
